shortname,longname,icon
dis2rote,Disciples 2 - Rise of the Elves,http://media.xfire.com/xfire/xf/images/icons/dis2rote.gif
doom3,Doom 3,http://media.xfire.com/xfire/xf/images/icons/doom3.gif
doom3roe,Doom 3 Resurrection of Evil,http://media.xfire.com/xfire/xf/images/icons/doom3roe.gif
droom,Doyles Room.com,http://media.xfire.com/xfire/xf/images/icons/droom.gif
dshard,Dragonshard,http://media.xfire.com/xfire/xf/images/icons/dshard.gif
dfall,Dreamfall,http://media.xfire.com/xfire/xf/images/icons/dfall.gif
driv3r,Driv3r,http://media.xfire.com/xfire/xf/images/icons/driv3r.gif
d2000,Dune 2000,http://media.xfire.com/xfire/xf/images/icons/d2000.gif
dkeeper2,Dungeon Keeper 2,http://media.xfire.com/xfire/xf/images/icons/dkeeper2.gif
dlords,Dungeon Lords,http://media.xfire.com/xfire/xf/images/icons/dlords.gif
ds,Dungeon Siege,http://media.xfire.com/xfire/xf/images/icons/ds.gif
ds2,Dungeon Siege II,http://media.xfire.com/xfire/xf/images/icons/ds2.gif
ds2bw,Dungeon Siege II Broken World,http://media.xfire.com/xfire/xf/images/icons/ds2bw.gif
ds2b,Dungeon Siege II Demo,http://media.xfire.com/xfire/xf/images/icons/ds2b.gif
dsloa,Dungeon Siege Legends of Aranna,http://media.xfire.com/xfire/xf/images/icons/dsloa.gif
ddo,Dungeons & Dragons Online - Stormreach,http://media.xfire.com/xfire/xf/images/icons/ddo.gif
hl2dys,Dystopia v1,http://media.xfire.com/xfire/xf/images/icons/hl2dys.gif
e2160,Earth 2160,http://media.xfire.com/xfire/xf/images/icons/e2160.gif
hlesf,Earth's Special Forces,http://media.xfire.com/xfire/xf/images/icons/hlesf.gif
elmat,El Matador,http://media.xfire.com/xfire/xf/images/icons/elmat.gif
empbfd,Emperor - Battle for Dune,http://media.xfire.com/xfire/xf/images/icons/empbfd.gif
ee,Empire Earth,http://media.xfire.com/xfire/xf/images/icons/ee.gif
ee2,Empire Earth II,http://media.xfire.com/xfire/xf/images/icons/ee2.gif
ee2aos,Empire Earth II Art of Supremacy,http://media.xfire.com/xfire/xf/images/icons/ee2aos.gif
empirep,EmpirePoker.com,http://media.xfire.com/xfire/xf/images/icons/empirep.gif
hl2emp,Empires,http://media.xfire.com/xfire/xf/images/icons/hl2emp.gif
edmw,Empires Dawn of the Modern World,http://media.xfire.com/xfire/xf/images/icons/edmw.gif
etm,Enter the Matrix,http://media.xfire.com/xfire/xf/images/icons/etm.gif
eragon,Eragon,http://media.xfire.com/xfire/xf/images/icons/eragon.gif
efmi,Escape from Monkey Island,http://media.xfire.com/xfire/xf/images/icons/efmi.gif
eve,Eve Online,http://media.xfire.com/xfire/xf/images/icons/eve.gif
evpoker,Everest Poker.com,http://media.xfire.com/xfire/xf/images/icons/evpoker.gif
eq,Everquest,http://media.xfire.com/xfire/xf/images/icons/eq.gif
eq2,EverQuest II,http://media.xfire.com/xfire/xf/images/icons/eq2.gif
eq2beta,EverQuest II Beta,http://media.xfire.com/xfire/xf/images/icons/eq2beta.gif
evilg,Evil Genius,http://media.xfire.com/xfire/xf/images/icons/evilg.gif
fable,Fable - The Lost Chapters,http://media.xfire.com/xfire/xf/images/icons/fable.gif
fow,Faces of War,http://media.xfire.com/xfire/xf/images/icons/fow.gif
fahrenheit,Fahrenheit,http://media.xfire.com/xfire/xf/images/icons/fahrenheit.gif
falcon4,Falcon 4.0 Allied Force,http://media.xfire.com/xfire/xf/images/icons/falcon4.gif
fallout,Fallout,http://media.xfire.com/xfire/xf/images/icons/fallout.gif
fallout2,Fallout 2,http://media.xfire.com/xfire/xf/images/icons/fallout2.gif
ft,Fallout Tactics,http://media.xfire.com/xfire/xf/images/icons/ft.gif
fc,Far Cry,http://media.xfire.com/xfire/xf/images/icons/fc.gif
fate,Fate,http://media.xfire.com/xfire/xf/images/icons/fate.gif
fearep,FEAR Extraction Point,http://media.xfire.com/xfire/xf/images/icons/fearep.gif
fearepspd,FEAR Extraction Point SP Demo,http://media.xfire.com/xfire/xf/images/icons/fearepspd.gif
fearmp,FEAR Multiplayer,http://media.xfire.com/xfire/xf/images/icons/fearmp.gif
fearmpd,FEAR Multiplayer Demo,http://media.xfire.com/xfire/xf/images/icons/fearmpd.gif
fear,FEAR Single Player,http://media.xfire.com/xfire/xf/images/icons/fear.gif
feard,FEAR SP Demo,http://media.xfire.com/xfire/xf/images/icons/feard.gif
fifa07,FIFA 07,http://media.xfire.com/xfire/xf/images/icons/fifa07.gif
fifa2k3,FIFA 2003,http://media.xfire.com/xfire/xf/images/icons/fifa2k3.gif
fifam06,FIFA Manager 06,http://media.xfire.com/xfire/xf/images/icons/fifam06.gif
fifa06,FIFA Soccer 06,http://media.xfire.com/xfire/xf/images/icons/fifa06.gif
fifa2k5,FIFA Soccer 2005,http://media.xfire.com/xfire/xf/images/icons/fifa2k5.gif
ff7,Final Fantasy VII,http://media.xfire.com/xfire/xf/images/icons/ff7.gif
ff8,Final Fantasy VIII,http://media.xfire.com/xfire/xf/images/icons/ff8.gif
ff11o,Final Fantasy XI Online,http://media.xfire.com/xfire/xf/images/icons/ff11o.gif
hlfa,Firearms,http://media.xfire.com/xfire/xf/images/icons/hlfa.gif
firstbat,First Battalion,http://media.xfire.com/xfire/xf/images/icons/firstbat.gif
fo,Flatout,http://media.xfire.com/xfire/xf/images/icons/fo.gif
fo2,Flatout 2,http://media.xfire.com/xfire/xf/images/icons/fo2.gif
msfs2k4,Flight Simulator 2004,http://media.xfire.com/xfire/xf/images/icons/msfs2k4.gif
flyff,Flyff,http://media.xfire.com/xfire/xf/images/icons/flyff.gif
fm2005,Football Manager 2005,http://media.xfire.com/xfire/xf/images/icons/fm2005.gif
fm2006,Football Manager 2006,http://media.xfire.com/xfire/xf/images/icons/fm2006.gif
fm2007,Football Manager 2007,http://media.xfire.com/xfire/xf/images/icons/fm2007.gif
utfo,Frag Ops,http://media.xfire.com/xfire/xf/images/icons/utfo.gif
winfcell,Freecell,http://media.xfire.com/xfire/xf/images/icons/winfcell.gif
ffighters,Freedom Fighters,http://media.xfire.com/xfire/xf/images/icons/ffighters.gif
ffvtr,Freedom Force vs The 3rd Reich,http://media.xfire.com/xfire/xf/images/icons/ffvtr.gif
frlncr,Freelancer,http://media.xfire.com/xfire/xf/images/icons/frlncr.gif
